ingredient,dish_type,energy,status_effects,rarity
Banana,Cooked Banana,12,Invigorating I,common
Blue mushroom,Steamed Blue Mushroom,14,Energizing II,uncommon
Brown mushroom,Steamed Brown Mushroom,12,Energizing I,common
Cloudcap mushroom,Steamed Cloudcap Mushroom,13,Energizing II,uncommon
Coconut,Cooked Coconut,3,,common
Cursed mushroom,Steamed Cursed Mushroom,23,"Energizing III, Insanity III",rare
Festive Cookie Dough,Cookie,45,Energizing I,rare
Giant banana,Cooked Giant Banana,36,Invigorating II,uncommon
Giant greencap,Steamed Giant Greencap,25,Energizing III,rare
Giant lemon,Cooked Giant Lemon,36,Invigorating III,rare
Giant orange,Cooked Giant Orange,13,Invigorating II,uncommon
Giant purplecap,Steamed Giant Purplecap,45,Energizing IV,mystic
Giant red apple,Cooked Giant Red Apple,36,Invigorating II,uncommon
Giant redcap,Steamed Giant Redcap,30,Energizing III,rare
Giant seacap,Steamed Giant Seacap,44,Energizing IV,mystic
Giant sky apple,Cooked Giant Sky Apple,54,Invigorating IV,mystic
Giant stratos apple,Cooked Giant Stratos Apple,79,Invigorating V,legendary
Grapes,Cooked Grapes,5,,common
Green apple,Cooked Green Apple,13,Invigorating I,common
Lime,Cooked Lime,12,Invigorating II,uncommon
Mango,Cooked Mango,12,Invigorating II,uncommon
Marula,Cooked Marula,15,Invigorating II,uncommon
Omprela mushroom,Steamed Omprela Mushroom,27,Energizing III,rare
Orange,Cooked Orange,4,,common
Orange Swiftcap,Steamed Orange Swiftcap,15,"Energizing III, Featherfall III",rare
Peach,Cooked Peach,6,Invigorating II,uncommon
Prickly pear,Cooked Prickly Pear,13,Invigorating II,uncommon
Pumpkin,Pumpkin Pie,40,Invigorating II,uncommon
Red apple,Cooked Red Apple,12,Invigorating I,common
Satura mushroom,Steamed Satura Mushroom,160,Energizing V,legendary
Seacap mushroom,Steamed Seacap Mushroom,22,Energizing III,rare
Sky apple,Cooked Sky Apple,18,Invigorating III,rare
Sky grapefruit,Cooked Sky Grapefruit,17,Invigorating III,rare
Sky grapes,Cooked Sky Grapes,6,Invigorating III,rare
